Interval Start Date/Time,Net Consumption (kWh),Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,27.28,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-09,2021.0,2.0,9.0,†,-12.0,,-22.0,,-17.0,,35.0,,0.0,,0.0,,0.0,,0.0,,6.0,,,,,
2021-02-10,43.36,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-10,2021.0,2.0,10.0,†,-15.0,,-22.0,,-18.5,,36.5,,0.0,,0.0,,0.0,,0.0,,5.0,,,,,
2021-02-11,50.61,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-11,2021.0,2.0,11.0,†,-17.0,,-23.0,,-20.0,,38.0,,0.0,,0.0,,0.0,,0.0,,5.0,,,,,
2021-02-12,48.51,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-12,2021.0,2.0,12.0,†,-15.0,,-23.5,,-19.3,,37.3,,0.0,,0.0,,0.0,,0.0,,5.0,,,,,
2021-02-13,37.64,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-13,2021.0,2.0,13.0,†,-8.0,,-18.0,,-13.0,,31.0,,0.0,,0.0,,0.0,,0.0,,5.0,,,,,
2021-02-14,24.75,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-14,2021.0,2.0,14.0,†,-4.5,,-12.0,,-8.3,,26.3,,0.0,,0.0,,0.0,T,0.0,T,5.0,,,,,
2021-02-15,22.45,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-15,2021.0,2.0,15.0,†,-4.0,,-7.0,,-5.5,,23.5,,0.0,,0.0,,1.6,,1.6,,5.0,,,,,
2021-02-16,20.41,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-16,2021.0,2.0,16.0,†,-1.0,,-7.5,,-4.3,,22.3,,0.0,,0.0,,1.2,,1.2,,7.0,,,,,
2021-02-17,19.39,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-17,2021.0,2.0,17.0,†,1.0,,-5.0,,-2.0,,20.0,,0.0,,0.0,,0.0,,0.0,,8.0,,,,,
2021-02-18,24.12,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-18,2021.0,2.0,18.0,†,-3.0,,-9.5,,-6.3,,24.3,,0.0,,0.0,,1.0,,1.0,,7.0,,,,,
2021-02-19,20.42,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-19,2021.0,2.0,19.0,†,0.0,,-6.0,,-3.0,,21.0,,0.0,,0.0,,0.0,,0.0,,8.0,,,,,
2021-02-20,15.86,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-20,2021.0,2.0,20.0,†,6.0,,-5.5,,0.3,,17.7,,0.0,,0.0,,0.0,,0.0,,8.0,,,,,
2021-02-21,14.71,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-21,2021.0,2.0,21.0,†,8.0,,1.0,,4.5,,13.5,,0.0,,0.0,,0.0,,0.0,,5.0,,,,,
2021-02-22,11.49,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-22,2021.0,2.0,22.0,†,8.5,,4.0,,6.3,,11.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
2021-02-23,13.26,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-23,2021.0,2.0,23.0,†,3.0,,-2.0,,0.5,,17.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
2021-02-24,16.31,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-24,2021.0,2.0,24.0,†,3.0,,-4.0,,-0.5,,18.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
2021-02-25,13.13,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-25,2021.0,2.0,25.0,†,5.0,,-0.5,,2.3,,15.7,,0.0,,0.0,,0.0,T,0.0,T,0.0,,,,,
2021-02-26,16.77,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-26,2021.0,2.0,26.0,†,3.5,,-2.0,,0.8,,17.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
2021-02-27,12.4,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-27,2021.0,2.0,27.0,†,3.0,,-4.0,,-0.5,,18.5,,0.0,,0.0,,2.4,,2.4,,0.0,,,,,
2021-02-28,16.51,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-02-28,2021.0,2.0,28.0,†,2.0,,-2.0,,0.0,,18.0,,0.0,,0.0,,0.0,,0.0,,2.0,,,,,
2021-03-01,10.92,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-03-01,2021.0,3.0,1.0,†,10.5,,0.5,,5.5,,12.5,,0.0,,0.0,,0.0,,0.0,,1.0,,,,,
2021-03-02,10.7,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-03-02,2021.0,3.0,2.0,†,6.0,,2.0,,4.0,,14.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
2021-03-03,12.4,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-03-03,2021.0,3.0,3.0,†,6.0,,0.0,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
2021-03-04,12.25,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-03-04,2021.0,3.0,4.0,†,11.0,,-1.5,,4.8,,13.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
2021-03-05,8.93,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-03-05,2021.0,3.0,5.0,†,14.0,,3.0,,8.5,,9.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
2021-03-06,12.19,-120.17,50.63,KAMLOOPS PRATT ROAD,116C8P0,2021-03-06,2021.0,3.0,6.0,†,9.0,,2.0,,5.5,,12.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
